;Ace.pla;Med.var;Pin.syl;Pru.ser;Rob.pse;Scl.ann;Ver.nig;Vio.arv;Che.alb;Gal.mol;Sed.acr;Tra.dub;Ste.gra;Tar.ery;Sed.sex;Dac.glo;Hol.umb;Dig.isc;Pot.ver;Thy.pul;Car.are;Bro.ine;Dau.car;Sen.jac;Cho.jun;Ero.cic;Ste.pal;Art.vul;Med.lup;Tri.rep;Tur.gla;Car.hirs;Myo.str;Sap.off;Sol.can;Tri.cam;Cer.arv;Lin.vul;Ant.odo;Pot.inc;Arm.mar;Rub.cae;Arr.ela;Sil.lat;Vio.can;Pol.avi;Cap.bur;Her.gla;Oen.bie;Ver.lyc;Pet.pro;Ver.cha;Peu.ore;Hel.are;Bro.ste;Cor.can;Luz.cam;Jas.mon;Gal.ver;Hol.lan;Tan.vul;Con.arv;Dia.del;Car.pra;Ech.vul;Tar.rud;Cen.sto;Poa.com;Vic.hir;Dra.ver;Cre.cap;Bro.hor;Hie.pil;Con.can;Hyp.per;Vic.lat;Set.vir;Hyp.rad;Vic.ang;Art.cam;Rum.thy;Car.hir;Tri.arv;Ara.tha;Pla.lan;Pot.arg;Eup.cyp;Fes.rub;Myo.ram;Cal.epi;Ach.mil;Ely.rep;Are.ser;Ber.inc;Ver.arv;Poa.ang;Fes.bre;Rum.ace;Agr.cap;Cer.sem
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0;0;0;1;0;0;0;0;0;1;0;4;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0.1;2;0;1;0.1;0.1;10;0;0;1;0;0.1;1;0;1;2;1;0;1;1;10;1;0;0;1
2;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;1;0;0;0;0;1;0.1;0;0;0;0;0;0;0;0;0;0;0.1;1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.1;1;0.1;0;0;0.1;0.1;0;0;0.1;0;0;0;0;1;0;1;0.1;0;0;0;0;1;2;1;0;1;1;30;0.1;1;10
3;0;0;0;0;0.1;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;1;0;0.1;0;0;0;0.1;0;0;1;0;0;0;0;0;0;0.1;0;0.1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;1;1;0;0;0;0;0;0;0.1;0;0;1;0;1;10;0;1;1;2;1;10;2;1;2;20;0;1;2;20;2;0;2;0
4;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;1;0.1;0.1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0.1;0;0;0;0;1;0.1;1;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0.1;1;0;0;0;0;0;0;0.1;0;0;0;1;2;0.1;0;0;0.1;1;0;0;10;0;2;0.1;0;1;1;0;1;30;0;0;2
5;0.1;0.1;0;0;0;0;0;0;1;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;1;0.1;0;0;0;0;0;1;0;0;0;0;0;1;0;0.1;0;0;1;2;0;0;0;0;10;0;0;0;0;0;0;0;0;1;0;0.1;0;0;0.1;0;0;0;0;0;0.1;1;0;1;0;0;10;10;1;0.1;0;1;4;0;1;4;4;1;0.1;1;0;20;0;1;1;1
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;0;0;0;1;0;1;0;0;0.1;0;1;0;0;0;0;0;0;0;0;1;1;0.1;0.1;4;0.1;2;0;0;0;0;1;20;0;1;0.1;2;0.1;1;0;1;0;0.1;0;4
7;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0.1;0.1;0;0;0;1;0;1;1;0;0.1;0;0;0.1;0.1;1;0;1;0;0;0;0;1;1;1;1;0;0;40;0.1;1;10
8;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0.1;2;0;0;1;1;20;1;10;1
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;1;0;1;0;0;0;0;2;0;0;4;0;0;0.1;0;0;0;1;0;0;2;0;0;1;0;0.1;0;10;1;0;1
10;0;0;0;0.1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0.1;0;0;0;0;0;0;0;1;1;2;0.1;0;1;0;0.1;0.1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;1;0;1;0;0;0;1;0.1;0;2;0;0;1;0;0.1;10;0.1;1;1;2;0;0.1;0;10;20;0;2;0
11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;4;0.1;30;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0.1;0;0;4;0;0.1;0;1;2;0;2;0;0;0;1;0;1;1;20;20;1;1;1
12;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;1;0;0;0;0.1;0.1;0;0;0;0;0;1;0;0;0;0;30;0;2;2;1;0;2;0;0;0.1;0;0;0;0;1;1;20;0.1;0;0;0.1;0.1;0;0;0.1;20;0.1;0;1;2;0;10;1;2;1;0.1;1;1;1;4;0;1;1;1
13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0.1;0;0;0;20;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;20;0;0;0;0;0;0;0;1;1;0;0;0.1;0;0;1;1;0;0.1;0;0;1;0;0.1;0;10;1;0;20;0;1;0;1;10;0;2;20;4
14;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0.1;1;0;0;0;0;0.1;0;0;0;1;0;0;0;0;1;0;0;0;0.1;0;0;0;0;1;20;2
15;0.1;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0.1;1;0;0.1;1;1;0;1;0;0;0;0;1;0;1;2;2;40;2;2;4
16;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;10;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;20;1;0;0;0;0.1;0.1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;2;1;2;1
17;0;0;0;0.1;0.1;0;0;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0.1;0.1;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0.1;0.1;1;1;0;0;0.1;10;0;1;0;1;1;0;0.1;0;0;10;0;0.1;1;1;1;1;1;0;1;20;1;1;1;20;0;1;2;10
18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0.1;0;0;0;0;0;0.1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.1;1;0;0;0;0.1;1;0;0;0;0;1;0;1;0.1;1;0;1;2;0;1;2;0;1;1;1;1;0;30;1;2;4
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;2;0;0;0;0;0;0;0;0;0;1;2;4;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;0;0;0.1;0;1;0;0;2;2;10
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;1;0;4;0;0;20;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0.1;0;0;0;0;0.1;0;1;0;0.1;0;1;2;0;0;2;0;0;1;1;1;1;1;0;1;2;0;1;1;1;1;1;2;0;1;10
21;0;0.1;0;0;0;0;0.1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0.1;0;0;1;0;0;0;0;0;2;0.1;0;0;2;0;1;10;0;0;0;0;0.1;0;1;0;1;0;0;0.1;0;0.1;0.1;0;2;10;1;1;2;1;1;2;2;10;1;0;1;1;1;20;20;0;0;1
22;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0.1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0.1;0.1;1;0;1;1;0;1
